2026-09-07 01:33:08 [INFO] Starting read-only 10-bit inspection; source=E:\torrents\final_organized
2026-09-07 01:33:08 [INFO] ===============================================================================
2026-09-07 01:33:08 [INFO] HANDBRAKE BIT-DEPTH INSPECTOR
2026-09-07 01:33:08 [INFO] ===============================================================================
2026-09-07 01:33:08 [INFO] Library   : E:\torrents\final_organized
2026-09-07 01:33:08 [INFO] Workers   : 8
2026-09-07 01:33:08 [INFO] Min size  : 0 MB
2026-09-07 01:33:08 [INFO] ffprobe   : C:\Users\bensm\AppData\Local\Microsoft\WinGet\Links\ffprobe.EXE
2026-09-07 01:33:08 [INFO] Log       : E:\torrents\tools\ReportsAndLogs\10bit\10bit.log
2026-09-07 01:33:08 [INFO] Report    : E:\torrents\tools\ReportsAndLogs\10bit\10bit_report.txt
2026-09-07 01:33:08 [INFO] 
2026-09-07 01:33:08 [INFO] Found 381 canonical MKV movie file(s).
2026-09-07 01:33:08 [INFO] Probe cache: E:\torrents\tools\ReportsAndLogs\state.db (0 entries loaded)
2026-09-07 01:33:09 [INFO] [80/381] SKIP-SDR  Dawn of the Planet of the Apes (2014).mkv
2026-09-07 01:33:09 [INFO] [81/381] SKIP-SDR  Despicable Me (2010).mkv
2026-09-07 01:33:09 [INFO] [82/381] SKIP-SDR  Die Hard (1988).mkv
2026-09-07 01:33:09 [INFO] [83/381] SKIP-SDR  Donnie Darko (2001).mkv
2026-09-07 01:33:09 [INFO] [84/381] SKIP-SDR  Django Unchained (2012).mkv
2026-09-07 01:33:09 [INFO] [85/381] SKIP-SDR  Dune - Part Two (2024).mkv
2026-09-07 01:33:09 [INFO] [86/381] SKIP-SDR  District 9 (2009).mkv
2026-09-07 01:33:09 [INFO] [87/381] SKIP-SDR  Dune (2021).mkv
2026-09-07 01:33:09 [INFO] [88/381] SKIP-SDR  Dunkirk (2017).mkv
2026-09-07 01:33:09 [INFO] [89/381] SKIP-SDR  E T the Extra-Terrestrial (1982).mkv
2026-09-07 01:33:09 [INFO] [90/381] SKIP-SDR  Enchanted (2007).mkv
2026-09-07 01:33:09 [INFO] [91/381] SKIP-SDR  Easy A (2010).mkv
2026-09-07 01:33:09 [INFO] [92/381] SKIP-SDR  Edward Scissorhands (1990).mkv
2026-09-07 01:33:09 [INFO] [93/381] SKIP-SDR  Elemental (2023).mkv
2026-09-07 01:33:09 [INFO] [94/381] SKIP-SDR  Edge of Tomorrow (2014).mkv
2026-09-07 01:33:09 [INFO] [95/381] SKIP-SDR  Elysium (2013).mkv
2026-09-07 01:33:09 [INFO] [96/381] SKIP-SDR  Enemy (2013).mkv
2026-09-07 01:33:09 [INFO] [97/381] SKIP-SDR  Eternal Sunshine of the Spotless Mind (2004).mkv
2026-09-07 01:33:09 [INFO] [98/381] SKIP-SDR  Fight Club (1999).mkv
2026-09-07 01:33:09 [INFO] [99/381] SKIP-SDR  Fast Five (2011).mkv
2026-09-07 01:33:09 [INFO] [100/381] SKIP-SDR  Ford v Ferrari (2019).mkv
2026-09-07 01:33:09 [INFO] [101/381] SKIP-SDR  Fargo (1996).mkv
2026-09-07 01:33:09 [INFO] [102/381] SKIP-SDR  Ex Machina (2015).mkv
2026-09-07 01:33:09 [INFO] [103/381] SKIP-SDR  First Man (2018).mkv
2026-09-07 01:33:09 [INFO] [104/381] SKIP-SDR  Ferris Bueller's Day Off (1986).mkv
2026-09-07 01:33:09 [INFO] [105/381] SKIP-SDR  Finding Nemo (2003).mkv
2026-09-07 01:33:09 [INFO] [106/381] SKIP-SDR  Fury (2014).mkv
2026-09-07 01:33:09 [INFO] [107/381] SKIP-SDR  Ghostbusters (1984).mkv
2026-09-07 01:33:09 [INFO] [108/381] SKIP-SDR  Fractured (2019).mkv
2026-09-07 01:33:09 [INFO] [109/381] SKIP-SDR  Forrest Gump (1994).mkv
2026-09-07 01:33:09 [INFO] [110/381] SKIP-SDR  Get Out (2017).mkv
2026-09-07 01:33:09 [INFO] [111/381] SKIP-SDR  Good Will Hunting (1997).mkv
2026-09-07 01:33:09 [INFO] [112/381] SKIP-SDR  Gladiator (2000).mkv
2026-09-07 01:33:09 [INFO] [113/381] SKIP-SDR  Gone Girl (2014).mkv
2026-09-07 01:33:09 [INFO] [114/381] SKIP-SDR  Greenland (2020).mkv
2026-09-07 01:33:09 [INFO] [115/381] SKIP-SDR  Goodfellas (1990).mkv
2026-09-07 01:33:09 [INFO] [116/381] SKIP-SDR  Green Book (2018).mkv
2026-09-07 01:33:09 [INFO] [117/381] SKIP-SDR  Gravity (2013).mkv
2026-09-07 01:33:09 [INFO] [118/381] SKIP-SDR  Hacksaw Ridge (2016).mkv
2026-09-07 01:33:09 [INFO] [119/381] SKIP-SDR  Groundhog Day (1993).mkv
2026-09-07 01:33:09 [INFO] [120/381] SKIP-SDR  Grown Ups (2010).mkv
2026-09-07 01:33:09 [INFO] [121/381] SKIP-SDR  Guardians of the Galaxy (2014).mkv
2026-09-07 01:33:09 [INFO] [122/381] SKIP-SDR  Happy Feet (2006).mkv
2026-09-07 01:33:09 [INFO] [123/381] SKIP-SDR  Harry Potter and the Chamber of Secrets (2002).mkv
2026-09-07 01:33:09 [INFO] [124/381] SKIP-SDR  Harry Potter and the Deathly Hallows - Part 2 (2011).mkv
2026-09-07 01:33:09 [INFO] [125/381] SKIP-SDR  Harry Potter and the Goblet of Fire (2005).mkv
2026-09-07 01:33:09 [INFO] [126/381] SKIP-SDR  Harry Potter and the Half-Blood Prince (2009).mkv
2026-09-07 01:33:09 [INFO] [127/381] SKIP-SDR  Harry Potter and the Order of the Phoenix (2007).mkv
2026-09-07 01:33:09 [INFO] [128/381] SKIP-SDR  Happy Gilmore (1996).mkv
2026-09-07 01:33:09 [INFO] [129/381] SKIP-SDR  Harry Potter and the Deathly Hallows - Part 1 (2010).mkv
2026-09-07 01:33:09 [INFO] [130/381] SKIP-SDR  Harry Potter and the Prisoner of Azkaban (2004).mkv
2026-09-07 01:33:09 [INFO] [131/381] SKIP-SDR  Holes (2003).mkv
2026-09-07 01:33:09 [INFO] [132/381] SKIP-SDR  Hercules (1997).mkv
2026-09-07 01:33:09 [INFO] [133/381] SKIP-SDR  Harry Potter and the Sorcerer's Stone (2001).mkv
2026-09-07 01:33:09 [INFO] [134/381] SKIP-SDR  Hidden Figures (2016).mkv
2026-09-07 01:33:09 [INFO] [135/381] SKIP-SDR  Her (2013).mkv
2026-09-07 01:33:09 [INFO] [136/381] SKIP-SDR  Heat (1995).mkv
2026-09-07 01:33:09 [INFO] [137/381] SKIP-SDR  Hereditary (2018).mkv
2026-09-07 01:33:09 [INFO] [138/381] SKIP-SDR  Home Alone (1990).mkv
2026-09-07 01:33:09 [INFO] [139/381] SKIP-SDR  How to Train Your Dragon (2010).mkv
2026-09-07 01:33:09 [INFO] [140/381] SKIP-SDR  I, Tonya (2017).mkv
2026-09-07 01:33:09 [INFO] [141/381] SKIP-SDR  I, Robot (2004).mkv
2026-09-07 01:33:09 [INFO] [142/381] SKIP-SDR  Home Alone 2 - Lost in New York (1992).mkv
2026-09-07 01:33:09 [INFO] [143/381] SKIP-SDR  I Am Legend (2007).mkv
2026-09-07 01:33:09 [INFO] [144/381] SKIP-SDR  Idiocracy (2006).mkv
2026-09-07 01:33:09 [INFO] [145/381] SKIP-SDR  Ice Age (2002).mkv
2026-09-07 01:33:09 [INFO] [146/381] SKIP-SDR  Inception (2010).mkv
2026-09-07 01:33:10 [INFO] [147/381] SKIP-SDR  Indiana Jones and the Last Crusade (1989).mkv
2026-09-07 01:33:10 [INFO] [148/381] SKIP-SDR  Indiana Jones and the Temple of Doom (1984).mkv
2026-09-07 01:33:10 [INFO] [149/381] SKIP-SDR  Inglourious Basterds (2009).mkv
2026-09-07 01:33:10 [INFO] [150/381] SKIP-SDR  Incredibles 2 (2018).mkv
2026-09-07 01:33:10 [INFO] [151/381] SKIP-SDR  Indiana Jones and the Raiders of the Lost Ark (1981).mkv
2026-09-07 01:33:10 [INFO] [152/381] SKIP-SDR  Insomnia (2002).mkv
2026-09-07 01:33:10 [INFO] [153/381] SKIP-SDR  Independence Day (1996).mkv
2026-09-07 01:33:10 [INFO] [154/381] SKIP-SDR  Interstellar (2014).mkv
2026-09-07 01:33:10 [INFO] [155/381] SKIP-SDR  James and the Giant Peach (1996).mkv
2026-09-07 01:33:10 [INFO] [156/381] SKIP-SDR  Iron Man 2 (2010).mkv
2026-09-07 01:33:10 [INFO] [157/381] SKIP-SDR  Into the Wild (2007).mkv
2026-09-07 01:33:10 [INFO] [158/381] SKIP-SDR  IT (2017).mkv
2026-09-07 01:33:10 [INFO] [159/381] SKIP-SDR  Jaws (1975).mkv
2026-09-07 01:33:10 [INFO] [160/381] SKIP-SDR  Iron Man (2008).mkv
2026-09-07 01:33:10 [INFO] [161/381] SKIP-SDR  Jimmy Neutron Boy Genius (2001).mkv
2026-09-07 01:33:10 [INFO] [162/381] SKIP-SDR  John Q (2002).mkv
2026-09-07 01:33:10 [INFO] [163/381] SKIP-SDR  Jurassic Park (1993).mkv
2026-09-07 01:33:10 [INFO] [164/381] SKIP-SDR  Joker (2019).mkv
2026-09-07 01:33:10 [INFO] [165/381] SKIP-SDR  King Richard (2021).mkv
